date,player,    rank    ,    total    ,    rp_spent    ,    battles    ,    negotiations    ,      traded_goods      ,    wonder_orbs    ,    activity_points    ,    events    ,     donations     ,     encounters     
10/13/25,Carl, 9 ," 191,540 "," 183,220 "," 11,900 "," 3,661 "," 44,200,000 "," 2,887 "," 35,655 "," 8,197 ",15,80
10/13/25,Minx, 29 ," 150,860 "," 199,950 "," 15,350 ", 771 ," 20,260,000 "," 3,006 "," 36,136 "," 9,466 ",45,80
10/13/25,STH0017, 32 ," 145,530 "," 142,380 "," 6,229 "," 5,680 "," 29,560,000 "," 2,768 "," 36,532 "," 9,494 ",3,80
10/13/25,Chip Finn, 49 ," 134,370 "," 142,600 "," 15,538 "," 1,385 "," 21,260,000 "," 2,015 "," 36,294 "," 8,634 ",15,80
10/13/25,Niesa, 66 ," 123,970 "," 173,580 "," 10,582 "," 3,433 "," 10,140,000 "," 3,838 "," 34,745 "," 9,601 ",15,80
10/13/25,Tinger61, 131 ," 109,080 "," 148,260 "," 11,419 "," 2,252 "," 9,100,000 "," 2,760 "," 34,439 "," 9,229 ",0,80
10/13/25,Shaun, 169 ," 104,060 "," 126,940 "," 9,866 "," 1,601 "," 13,070,000 "," 2,088 "," 36,046 "," 9,206 ",15, 77 
10/13/25,Beyondthestars, 178 ," 102,810 "," 158,010 "," 6,252 "," 5,663 "," 5,750,000 "," 3,077 "," 33,493 "," 9,245 ",15,80
10/13/25,Lethdo, 212 ," 98,996 "," 141,860 "," 7,632 "," 4,883 "," 4,920,000 "," 2,976 "," 36,283 "," 10,137 ",15,80
10/13/25,Andres M Leal, 266 ," 94,851 "," 133,670 "," 9,434 "," 2,865 "," 7,520,000 "," 1,793 "," 33,996 "," 9,428 ",15,80
10/13/25,Cardinal, 376 ," 87,190 "," 104,860 "," 6,858 "," 3,596 "," 6,400,000 "," 2,851 "," 35,208 "," 9,478 ",15, 63 
10/13/25,sensejus, 392 ," 86,379 "," 103,760 "," 7,993 "," 4,688 "," 5,510,000 "," 2,331 "," 32,916 "," 9,094 ",15,80
10/13/25,Taysacks, 436 ," 84,245 "," 117,050 "," 7,319 "," 3,364 "," 4,730,000 "," 2,471 "," 30,119 "," 8,773 ",15, 60 
